svc_sentiment,text
positive,Don't know how to get the screen bright when I am in sunlight
positive,We really are enjoying the Kindle Fire.  Not sure we have even scraped the surface of a ts potential but relatively easy to figure out and get around in.  Love the parental controls.
positive,I love my new Fire HD!!! I would recommend it to anyone.
negative,Having trouble with the storage space! VERY little of it am I able to use! :(
positive,Easy to use
negative,This unit needs a manual.  I can't figure out how to stream Prime movies over WiFi?  I hope to hear from you soon.
positive,great tablet; much improved from one (not HD) we purchased 2 years ago
negative,Like the sound of it
positive,Great
positive,Perfect!!!!
positive,I was surprised at how much you can do with this little tablet. What a great gift from my husband.
negative,I don't know how to use it . There is no manual.<br />Thank you
positive,Love it
positive,Love the Kindle Fire. The sound is amazing when watching movies.
positive,I bought the Fire HD for my Mother for Christmas and she loved it!
positive,Great image and sound.
positive,I got this Fire for my 10 year old daughter.  She had the original Kindle Fire and she loves this one so much more!  The display is SO much better!
positive,I love my new kindle. It is nice to do more than just read on it.<br />I still use my old kindle to read outside due to the glare
positive,No problems so far.  Really enjoying it.  Only gave it 4 stars because it didn't come with a user's manual.
positive,This is a great tablet.
positive,This kindle fire is so awesome I love it. Yes it did meet my expectations and much more. I would recommend it too others. I would love to have all models.
positive,I love my kindle.
positive,Love it as I can play the games and put puzzles together that the Kindle Fire could not open well. Also can get email a lot better and Facebook. .I recommend it. Also was cheaper than the Fir
positive,Wonderful tablet!  Just what I wanted.  Great for reading!  Clarity is extraordinary!
negative,not enough gb easily broken scratched easily camera sucks
positive,I bought this tablet for my husband who is not computer savvy. He absolutely loves it. It is easy to navigate. He hardly ever put it down...great big fear price thank you
positive,Love it!
positive,Replacement for my first fire. Love it. Wished it fit the cover I have better.
positive,Enjoying every minute of it
negative,Not bad
positive,Love my Kindle fire
positive,Always great as usual!
positive,I love my Kindle Fire HD 7!  Everything at my fingertips.  Free books and games!  And so much more. Thank you Amazon--I won this Kindle in a raffle working for you!&#34;
positive,Absolutely love my Kindle!
negative,I need more instructions on how it operates.  I keep losing my page or search.  The font is not easily controlled in all programs.  I expected it to be more user friendly for the average user
positive,Awesome
positive,Met and exceeded my expectations
negative,I hate to say that I liked my first Kindle Fire better - but it has stopped taking a charge and I do not know what to do......this one is brighter and works fine but the stylus I bought to go
positive,My HD 7 was a replacement for my old Fire that was not HD.  It is better and as easy to use.
positive,Works great.
positive,It was a gift so I didn't know what to expect but it is very nice.
positive,I wasn't sure what to expect with the special offer thing on this.  But it's ok.  You can change the settings so that it only lets ads pop up that are family appropriate.  So for the price th
positive,Got this for my 5 year old for Xmas. She loves it!!
positive,I love it.
positive,Love it!!! It is easy to use (I am not very techno savvy) and fun!!!
positive,We love our Amazon Fire Tablet.I don't even need my laptop any more. It works great.
positive,I bought this for my husband because who loves to read.  I have had my Kindle Fire for two years and just love it.  I am a little disappointed because the new Fire does not seem to hold the c
positive,Love my kindle!!!! I take it everywhere I go...
positive,Love it
positive,I LIKE IT VERY MUCH.
positive,Love it.  Still getting use to it. But it's fun
positive,Very good product. My wife loves it. Pictures are awesome on the screen and it works fast.
negative,Turned on by itself and a third of the time the power button would not start the unit.
positive,I'm very happy with this kindle. I got it for my 7yr old daughter and what's great is the parental control features. I also like the apps available for this versus my iPad. Love it!
positive,Everything I needed in a tablet. Love it.
positive,Love it beyond my mental capticy.
positive,It's been easy to start and learn being the first time ever....Thank you
positive,I am enjoying using it.
positive,Does so much as a tablet as well as a reader and easy to read and use.
positive,I bought this for my 18 month old granddaughter for Christmas. She loves to swip on my phone so now she swips on this! We have loaded lots of games and she loves it!! Purchased a child proof 
negative,not as nice as expected
positive,EASY TO USE
positive,Great
positive,My 8 year old loves his kindle. He has been on I non-stop since Christmas. Its been great to see him smile because he was really upset after his last one went missing.
positive,Love it ....
positive,I love it! Xmas gift from my wife. Can't ask for more.
positive,I received my kindle hd fire 7 for Christmas.  So far I really like it. I'm still learning on what i can do on it. The kindle does more that I expected. Good job to amazon!!!!
negative,The product size did not meet description.
positive,Works like I expected. Convenient and easy to use. Small and handy to use and store.
positive,Great product
positive,Great!
positive,Great size for reading.....  I love it
positive,Let me just say that going from a first generation Kindle Fire to the 4th generation is a little like going from a minivan to a mustang! It is sooo much faster than the first generation and n
positive,Awesome!!
positive,It's exactly what I was expecting and works exactly as I expected it to work. Love it!
positive,Love the new fire HD 7 bought it for my husband as a Christmas present he has never had a Kindle was so easy to show him how it works.  My fire HD is a few years old and wish I had this one l
positive,This was a replacement for a defective unit. It. Is much better.
positive,I love my Kindle and all the things that it can do I even think my son loves it more than me
positive,Great product
positive,I am very pleased with my Kindle Fire.
positive,Love it
positive,perfect!
positive,Love it
positive,My granddaughter loves it..
positive,Great for my needs.  I love playing games on this Kindle.
positive,My husband purchased Fire HD 7&#34; for my birthday and I'm thrilled with my new gadget😁
positive,Very nice and arrived on time as usual with Amazon.
positive,I love my new Kindle!  This is my second.  I used my first generation daily for 3 years until the charger port wore out.  This new one is faster and the display is sharp!  5 stars!
positive,Table grrrrreat for tired diabetic eyes. I have glaucoma and retinopathy . Takes the strain and expense out of buying books. Large print hard copy expensive!<br />Also great for small spaces.
positive,Still playing with it. Finding out what all it can do.
positive,Better than other devices and a lot cheaper.  Great performance
positive,The Fire HD 7 is pretty awesome. The sound on this thing is superb!  I was surprised it sounded as well as it does. My only gripe is the fact that I am unable to download certain popular apps
positive,Best purchase I have made in a long time. Super sharp display. Easy to customize. Don't know what I did without it!
negative,I bought 1 think and this is my 4th survey  a little annoying p
negative,Not as user friendly as earlier models. The camera though is a great addition.
positive,I think it's great
positive,It's wonderful...5 Stars
positive,This is THE BEST GIFT I have ever given myself!  Love it!
negative,Limited memory
positive,Awesome
positive,Works great. Love it.
positive,My mother loved this gift.
positive,Charges very slow.  My only complaint.  8GB is really to small to be useful for most things.
positive,I love it
positive,Fun
positive,It was a gift
positive,Loving it so far.
positive,Easy to work with. Does what I need it to do.
positive,Just learning to navigate but enjoying it so far
positive,Great
positive,I love it 😘
positive,Works great!
positive,I bought this for my son. He loves it. He has had no complaints thus far. It exactly as advertised. Good deal for price.
positive,it was great I loved it
negative,Wish it had a hard cover instruction manual<br />And what special offers are you referring to<br />Battery life is short lived.......other than that it's ok
positive,Very good.
positive,This my second kindle.  I use amazon almost exclusively so these things are the only way to go.
positive,great transaction
negative,I am so disappointed with this product. The picture quality is horrible; worse that any camera I have seen. very disappointed
negative,I am not like it because there is no manual with it.
positive,Excellent
negative,Does not work right all of the time
positive,Exactly what I expected
positive,Awesome deal!
positive,The only problem I have is accidentally changing the page while I'm reading; otherwise the touchscreen is great. It's also much easier to see the text than the older Kindle I have. I still us
positive,Love it!
negative,It has a learning curve. I do find the iPad easier to use.
positive,Good
negative,Haven't received it yet
positive,I'm loving the Kindle!  I've had a nook color for nearly 4 years & the difference in the display is amazing!  The streaming video with Prime is a great feature as well.  Super happy with this
positive,Great option between my smartphone and laptop!
positive,works well easy to use ....
positive,Love it
positive,Comes pre-installed with your info so set up is easy.  Very Happy with my purchase!!
positive,Excellent and met my expectations.
positive,LOVE IT!
positive,My daughter loves the color and snaps in hard bottom soft top. I only gave it 4 because did not know bottom was hard but really nice color and dies the trick
positive,Love it !!
positive,Awsome deal! Camera is a great +. 7 year old plays all kinds of games.
positive,Love it
positive,I am so happy that I now can travel with the Fire and leave the lap top home.
positive,Love it!!
positive,I like it ...
positive,Great for reading and movies.
positive,Great for games and reading.
negative,Short battery life.
positive,im really  enjoying the fire 7
positive,Great video and picture quality. Easy to use.
negative,This thing sucks and I want to throw it through a window--no way to get any help either
negative,It's pretty heavy.
positive,Arrived quickly! Purchased for my kids and they loved it!! Thanks!
positive,Exactly what I wanted.
positive,My son upgraded his kindle from 3 years ago. He is very happy with the purchase.
positive,:)
positive,Love the Kindle Fire HD7 - does everything I need it to do at a reasonable price.
positive,Love it!!!!
positive,My favorite Christmas gift by far!
positive,Love!!!
positive,Love this electronic.  Very satisfied with all of its capabilities.
positive,Really enjoyed having this tablet. The books are easy to read easy to see it's not to big.excellent tablet. Would recommend. A+A+A+A+
negative,I Like it..I just don't like that you can't change your screen saver :-(
positive,This is probably about my 10th Kindle device and I have nothing to say that hasn't been said before. Amazing quality and the Amazon ecosystem gets better and better. My son put aside his Nexu
positive,Very nice
positive,love it
positive,I love it!
positive,YES LOOKING FORWARD TO READING MY BOOKS SOON.. THANK YOU
positive,Love it!!!!!
positive,Love the Fire HD. Meets all of my expectations.
positive,I absolutely love it!!!!!! It has made my life easier!!!
positive,Great!!  Easy to use - quick response
positive,This is great for the kids.  The touch screen sometimes is a little touchy.  I have tried to set up the kids with their own profile on it but it is difficult to add games and stuff so that yo
positive,I love it
positive,great buy and find too
positive,Great kindle
negative,It was a gift for my husband.  He has really enjoyed it!!
positive,This is awesome. Only thing I've not so far is that the battery doesnt last as long as I'd like it to. I guess it's because I use it so much!
negative,Is okay.
positive,So far I love the Fire!  The only thing I would suggest is that a manual be included.  Much of the tablet is not intuitive and I have had to do a large amount of research & reading to make fu
positive,Great
positive,The model is compact and durable yet very stylish.  Switching from book reading to surfing the net is easy.  The picture quality is excellent.  Setting up my email was extremely easy.  Overal
positive,Love it! Super fast.
positive,I love my new kindle fire HD 7
positive,Does everything i need it to do from reading. Playing games and online ordering.
positive,Very happy customer
positive,Soft but durable. I love it!
positive,For the price this thing is great!
negative,Love it.
positive,Nice protection for your Fire
positive,I think it's great
positive,Great picture and sound! User friendly!
positive,This was a surprise for my son and he was surprised. He is on his third book already. He travels al the time for work and cannot always get internet so this is perfect for him!
negative,Not happy. Got for my dad for Christmas. It will not turn on and I have been trying to contact Amazon and website is not helpful.
positive,Love it!!!
negative,Bought as gift for a new kindle reader and not one single word on how to use.  He's finding it more frustrating than enjoyable and he doesn't know how to get help.
positive,Its a very sturdy and strong case I would recommend this case to anyone
positive,the kindle fires are great i purchase another
positive,In love again
positive,great
positive,Great...loving it...........
positive,I'm in Okinawa Japan apart of my four year service and got my girl friend this for her late Christmas present  her family dosent have much but it put the biggest smile on her face now we vide
negative,Very upset ....  just received my cover and it doesn't fit my 2014 7&#34; fire HD.
negative,Very disappointing doesn't come close to a simple Nook HD
positive,I only wish you included a printed manual
positive,Very practical and simple to navigate.
positive,My wife loves it.
positive,Can't navigate and find out how it works
positive,Love it
positive,Great upgrade to my 3 year old fire!
positive,I love it. I was replacing an older Kindle fire & the HD model makes all the difference!
positive,I love it
positive,Loving it so far.
positive,My FIRE is my favorite newest acquisition. It is comfortable and easy to use.  Every day I learn more about it.
positive,I am enjoying my kindle fire immensely.
positive,My 16 yr. Old daughter loves it.
positive,It the best
positive,I like it...It seems to do a lot more than my old one...
negative,Key tabs require multiple press at times.
positive,Love it!
positive,We purchased two (2) of these tablets for each of our daughters who are 8 & 5.  They love the tablets and the size even in it's case is very easy for them both to handle.  We have been very p
positive,love this still learning how to use it.
negative,This new kindle is not working right. Can not turn it off and the charge does keep the charge even with a new adapter. I need your help. Thank you. Linda johnson
positive,I love everything about it..
positive,This is just the device I needed to do the things I want without sitting for hours at the big computer.  I recommend it highly.
positive,My 8 year old daughter absolutely loves it. She even gets excited about playing math games.
positive,I actually  received this item about 4 day earlier than what amazon said it would arrive so that was a big plus it came with a screen protector and stylus pen I did have some trouble with the
positive,I can't compare this tablet with others as it is my first. I like what it can do but I don't like that you cannot log out of your email without re-entering all the connection account info all
positive,Love it!!!
positive,It was for my daughter for Christmas and she absolutely loves it she still learning all the things it does
positive,Loved it!  We got it for our 5 year old and its durable and easy to use.
positive,This is the first tablet I have ever owned in my life and I am glad to have chosen this one.
positive,perfect for our 10yo
positive,Great Case
positive,Wife loves it!!!
positive,Great. Love it.
positive,Easy to use.  Great picture.
positive,I love my kindle fire HD 7.
positive,This is exactly what I expected. Easy to use and set up.
positive,This is my families 4th Kindle.  We love them.
positive,Only had it since Christmas three weeks ago so I have not got into all it can do but so far it is great!
positive,This was a Christmas Gift and it arrived 2 days before Christmas just like it was promised! Worked just like it was advertised. Very easy to operate. Had an older version Kindle and this one 
positive,Love it!
positive,Great ! Love it! All to be expected and more.
positive,Only issue I have is occasionally the Kindle will not come on so we have to hold the ON/OFF button for 40 seconds or so then it boots back up. Other than this issue this the second Kindle Fir
positive,LOVE IT
positive,I had one earlier but left it in a restroom at the hospital.  Someone was kind enough to borrow it but forgot to return it.  My wife got me a new one for Christmas and I like it as much as I 
positive,Very good
positive,Works great
positive,Love it!!
negative,Not as user friendly as earlier model
positive,Faster than my older fire. More options when reading.
positive,Love this replacement for my old kindle
positive,very nice product easy to use
positive,I love it!!! It is easy to use and download so fast. It was an amazing gift!!
positive,Very nice tablet.
positive,Love it!!!!  No need to pay for an expensive tablet!!!
positive,Love
negative,I had the fire before and it had a more responsive on and off switch.  It also is in a more awkward position.  It may seem minor but starts the use each time annoying.
negative,The amazon store is terrible. Beyond terrible!!!! Hardly any apps that I actually use. Returned the Fire HD and bought a Lenovo tablet.
positive,Really like the kindle fire
positive,Overall very happy with the Fire HD 7. There could be less advertising in my opinion. My 4 yr old loves it.
positive,fast turn around would do business with again
positive,I love this for my 12 year old niece. It's sturdy and a great education and entertainment tool.
positive,Love it!!!  This is an upgrade for me as I already have the Kindle  Fire. Love them both. Keep them coming!!!
negative,Have seen better
positive,I love my fire HD 7.  It's just the right size to hold easily and it is fast.  Love it!!!!.
positive,Love this just wish I could have mobile data.
positive,This Fire is a good tool when you do not have access to a laptop.  As a reader it is great.
positive,awesome
positive,I like it was a gift
positive,I love my kindle!  I thought I would not like it because I like holding the actual book.  But I love having it with me everywhere I go. M
positive,I love it! It seems to lag a little sometimes but overall I love it!
positive,I luv it
positive,Easy to use. Very clear screen!
negative,Who bought this?  Not I.
positive,My son loves it.
positive,Excellent mid-sized tablet.  Very light and easy to use.
positive,Absolutely love it!
positive,THIS IS A GREAT BUNDLE OF GOODIES FOR MY NEW KINDLE FIRE HD.  I ACTUALLY ORDERED (AND RECEIVED) THE PURPLE CASE AND THE COLOR IS PERFECT.  HAD A LITTLE TROUBLE PUTTING THE SCREEN PROTECTOR ON
positive,Love it
positive,I really love this little tablet.
positive,I love parent controls.
negative,its okay not as good as the one I had before. the other one was thin and read books to you. this one is fatter and doesnot read books to
positive,love it
positive,its awesome.  i love using it when my kids are on computer!!!
negative,The camera was nice for price but dont expect much. I own 7 other kindle fires and this was same thing other than video . Still good product
positive,I love my Kindle. The battery power is great and the tablet is very user friendly. My only complaint is the inability to personalize the background and such. It does everything that I need it
positive,I love my new Fire HD.  It has so much more than my first Kindle Fire. The battery life is much longer and the outline of the programs are great.
positive,fits perfectly! love it
positive,Perfect
positive,Love it!
positive,Just need more than 8 gigs can't activate some apps. Trying to save my storage.
positive,Love this kindle but if you don't cut off the power when you are not using it the battery dies.
positive,great
positive,love love love my new fire :)
positive,good graphics and easy to use! A Christmas present and very happy with it. Haad the first kindle and this is so nice to use in the dark!
positive,Its perfect and does exactly what I intended it to do. I do wish the battery lasted longer but other than that it's great.
negative,Not all it cracked up to be. Won't even link up to your smart phone
positive,Very happy
positive,Have not figured it out yet cannot get a charge
positive,Better than we expected
positive,Excellent device
positive,Amazing piece of technology. Meets or exceeds all of my expectations.
positive,I bought these for by grandkids and they lover them.
positive,Still figuring it out but the sound and picture are really good.  I haven't used the camera yet.  It's not slow which is great.
positive,Enjoy being able to use it throughout the house and when I travel!
positive,lightweight  like it much better than my old kindle.
positive,My son loves his Kindle Fire! Works great!
positive,love it
positive,I got my kindle fire hd 7 for xmas..I love it! The picture is amazing along with the sound!! I would highly recommend!!
positive,We bought it for our son for Christmas & he loves it. He originally wanted a IPOD but he's def to young for that so I saw the Kindle & knew it was what we were going to get him
positive,amazing
positive,wife loves it
positive,Fantastic!
positive,This is a great platform
positive,It works better then I do. Still learning it's idiosyncracies. Only problem is when I charge it with the USB cable I receive a notice that drivers are required to be loaded and to use a CD wh
negative,Arrived in just a few days.  Works great.
positive,dying to learn all I can gain from it
negative,it was fine when it was fine at first but our skyping abilities were mess up due to our poor skills and even our knowledgable Grandson was unable to help us.we are having a problem getting re
negative,Well I was pretty impress for a while but after the warranty expired mine start giving me problems I got myself a kindle & iPad my iPad is still running kindle not!!! I called support they sa
positive,Very good
negative,One of the main reasons I got it was to play Hey Day with friends... But even with the how to book ... The game can't be down loaded on my Kindle Fire... And I think that is stupid
positive,Fantastic
positive,Difficulty connecting to internet.
negative,This is my second time purchasing this product. My kids love them👍
positive,Love it! My first experience with a tablet and I'm enjoying it. I use it a lot so I need to charge it almost everyday but it's not a big deal.
positive,Love this kindle color and all a lot better than my first kindle fire
positive,Love it.
positive,I like the option of having a camera but it could use a flash. This is my second fire. There may be a glitch in the operating system. When I click a link almost every time I have to push the 
positive,I'm impressed with the versatility of a product at this size. I find I'm using it more than my iPad. I loved it!
positive,Love It....
positive,I love this Fire HD!
positive,She love it and uses it daily after she completes her homework.<br />.
negative,For the amount of money this cost I was pretty disappointed. The charge is terrible. The battery life is just as bad if not worse. The camera is terrible. The apps aren't that great unless yo
positive,I just love my Kindle Fire! I had an early kindle for reading but fire does so much more!
positive,My 7yr old got this for Christmas and loves it. You get a lot of free books and a trial of Amazon prime!
positive,Great tablet and still learning more about this product
positive,I love it. I miss my kindle but I will love this. Just have to figure out how to read books.
positive,Great purchase.  My daughter loves it.  It does seem to take a long time to recharge but maybe that was only the first time.
positive,I absolutely love it!!
positive,This was a gift for my 78 year old Mother.  She is really enjoying it!  Simple enough for her to use with some simple instruction.  Connects to the internet fast enough for her.  Seems to do 
positive,I love this thing! It has become a regular everyday part of my life it is very convenient light and awesome.
positive,fine product and fast delivery
positive,love it!
positive,I purchased this for my niece . She love it she nine.
positive,Excellent device
positive,My wife loves it!
positive,I didn't think I would love this kindle so much!!!
positive,very nice device for the price
positive,Incredible improvement from my regular Kindle.
positive,It was everything I expected it to be.
positive,My sister got this for me for Christmas. I just love it. I am still figuring it out.
positive,Great product
positive,I am happy with this product
positive,Amazing I love it
positive,just getting use to it have never had one before  learning and loving it
positive,Arrived early just what I wanted..
positive,Love my new Fire HD7. It is teriffic!!!!
negative,I is a little hard in finding out how to work it.
positive,love my new Kindle - but the deals that came with it were a waste - i did not even get my free month of prime :(
positive,This is my second Kindle Fire. This one is so much better than the first edition kindle fire.
positive,Works good so far
positive,Awesome.
negative,camera is not as great as I expected.
positive,It is great!  More than I expected for the price!
positive,Great buy!!
positive,My kindle fire is the best no glare on screen when reading and this is the best for night time reading
positive,Totally enjoy it. I was looking at I Pads but this does the job. Great pricing
positive,Want to return unused portion of calendars.  Fire HD is fine.<br /><br />Dick
positive,i got this for my wife and she love this fire hd 7.
positive,Excelente producto
positive,Love it
positive,Purchased as a gift.  It is as advertised and works super for recipient.
negative,Have not received it yet.  Slow Delivery
positive,Easy to use..fun....convient. ...just what I had hoped for.<br />I'm not a tech guy and I don't need to be with the Fire. I'm very happy with this purchase.
positive,It is great my Hubby really loves it.<br />Thanks!
positive,I love it !!!
negative,Lags too much. Not enough memory because basic functions take up so much. False advertising if you have u have 8 gbs but half are already used. I have 4 gbs. And I shouldn't have to tead the 
positive,I really like this fire
negative,Too many adds pop up while reading a book or playing a game.  The $15 add removal does not remove these adds.  It only removes the add when you power up.  Don't buy this.
positive,Love it. It does it all for entertaining and keeps me reading
positive,Ordered this for my wife. She loves it and uses it daily.
positive,Good
negative,8 gb is more like 5 gb.
positive,Great fun.
negative,Is an ok tablet but loses it charge extremely fast even when not in use and with Wi-Fi turned off.
positive,We love our kendle
positive,I love my fire he. It was a wonderful Christmas gift from my son's and families.
positive,Love it
positive,:D
positive,so much better than my original kindle fire!
positive,I love this product and am having so much fun reading books and playing with it. It was the perfect gift for a book lover like me and also a wonderful tablet
positive,Love it ! Picture and color is great !
positive,Very satisfied with product. Received in the time allowed. Will definitely order again from them.
positive,Love my new Kindle Fire!
positive,:)
negative,I love being able to have my books and games right there! The books are pretty cheap too. Lasts all day and a little longer! I love the kindle fire!
positive,I am really impressed with this technical marvel. Easy to use and I'm still learning of its' capabilities everyday....good on ya! Amazon!
positive,Absolutely love it!
positive,Bought it for my husband. His intro into the PC world. He loves it!
positive,Amazing! Love it!
positive,I love it!
positive,love it
positive,I love it !
positive,Absolutely love it! I already owned an older Kindle and all of my books and magazines transferred over so easy.
positive,I absolutely love it.  Best Christmas present I've gotten in a long time!!
positive,My son loves his fire!
positive,Highly recommend as you have the ability to monitor/control the amount of time your child can spend on tablet.  Great quality!
positive,I love my Fire HD 7!
positive,Awesome cover!
negative,unable to run Google Apps. makes my Uverse subscription non useable.
positive,Love reading my Kindle. wish I had tried it earlier.
positive,Super
positive,Wish it came with a manual.
positive,Still getting used to what it is all about.
positive,Like product. Learning how to use it. So far so good!
positive,I love it still getting comfortable with it.
positive,My 9 year old loved
negative,I hate that I can't download my bejewled blitz and my plants vs zombies 1 and 2 I downloaded them on my phone but I can't get them on my fire hd please make it available so that I can play  :
positive,Still learning about the operation and options but so far (15 hours of use) it is great.  Looking forward to many hours of use and enjoyment.
positive,I purchased a fire hd for my hubby last year and I fell in love with it so got one for myself this year. It is nice to be able to sit anywhere in the house and have  wi-fi service. There is s
positive,I am enjoying my Fire HD 7 very much.  I'm glad that I purchased it.
positive,Bought for my 3 year old. She loves it and so do we! I love that we can customize a log in for her and let her play without worrying about what she is doing or going to buy. It holds the char
positive,I had some difficulty getting started but then find it presenting new areas of activity all the time.  I am 88 and do not find it intimidating at all.
positive,I love it!!. Had the old version this one is much nicer with more features.
positive,for the price it is an amazing device!
positive,great tablet. I strongly recommend this for anyone looking for an affordable tablet
positive,I live it.  Looks so much sharper and faster than the original.
positive,It's great I am still learning how to use it. I am sure that once I get the hang of it I will be using it for everything I use my phone for :) happy reader here once again.
negative,It's my 2nd Kindle...first with a touch screen.  So far I like it....just wish it came with printed instructions.
positive,Easy to use and understand especially for non computer type person
positive,Awesome buy!
positive,Love it
positive,Love it. Got this for Christmas (a total surprise) and I use this more than my laptop. I can do everything I used my laptop for.
positive,I went from having the original kindle (still working well today) to a whole new world.  I am still learning how to use it but it is wonderful!!!
positive,Great product and son loves it!
positive,Easy to use and lots of fun!
positive,I LIKE IT BUT THE CASE THAT WAS SOLD WITH IT IS THE WRONG CASE.  THE CASE COVERS THE CAMERA LENSE HOW DO I RETURN THIS ITEM
positive,I love it!!! My kids love it!! Very happy with it so far!!!
positive,Easy to set up for Tech challenged parents. Perfect for my almost 9 year old. She's been reading more and having fun with math games (finally!) We have yet to set up parental controls but I u
positive,It's my favorite toy it does everything!!!
positive,Love it
positive,This was a gift for my husband and he absolutely loves it.
positive,Awesomous!!!
negative,Can't rate yet I have been waiting for a case for it to protect it. Use to Apple products. Pandemimi said my fault I didn't order the right one! Doesn't say anywhere on site that you have to 
positive,😃😃😃😃
positive,Very satisfied.  Works really good.
positive,Most Awesome. Love my new toy. lol
positive,It is my favorite new toy.
positive,Love it!!
positive,Great
positive,very please with unit.  Still learning
positive,Second Kindle we bought and its great! Did order a magenta one and ended up with a black one.
positive,Easy to learn and use.  &#34;Talked&#34; to old friends right away!!
negative,I should have bought the Samsung
positive,love it!!
positive,I have owned the original fire since it first came out.  I have always loved and would not have thought that I would like anything more.  The new fire HD is truly amazing.  Would highly recom
negative,No instructions. Apps really lousy. Hardware ok but not NOT &#34;intuitly obvious.&#34;
positive,kindle O.K.  Problems encountered with double down slot play.  software steals chips.  lost 1 million chips on several occasions. only 1 million replaced
positive,So far so good.Do like the lighter weight compared to my other kindle fire. Big fan of the fire.
positive,nice.  like it a lot.
positive,I think it is great still getting use to it
positive,Great tablet for the money. Especially if you like to read. My wife loves hers.
positive,have certainly enjoyed it for the winter months .
negative,much more complicated then the first one I got.
positive,love it
positive,kindle fire hd 7 to sum it up &#34;AMAZING&#34; don't waste your money on the over expensive this is that expensive tablet just a hell of a lot less money.
negative,This was not what I was looking for
positive,Love it!!!
positive,Nice tablet
positive,I love it. The size is perfect for home and travel. I can easily see the screen when searching the internet or playing my favorite game. It was my best Christmas present.
positive,I love it
positive,I purchased this for my 13 year old daughter for Christmas! She loves it!!  The HD picture is amazing beautiful!!  The sound that comes out is fantastic.  We used it for videos at Christmas a
positive,My husband and Mother got one and are having a blast with it.
positive,Still new at using it but love the convenience.
positive,Love it !!!
positive,so far it is great
positive,Love it! Its fast and easy to learn how to use.
positive,This was a great purchase .  I use it more than my pc now!
negative,i just dont like it
positive,its great
positive,Got it for my 78 year old mother..  She loves it.  She reads and plays games on it.  Keeps her Kindle paperwhite by the bed and Fire by her chair in the den.
positive,The Fire is everything that I expected and more.  I am enjoying the free preview of the Washington Post.  And the lighted screen for reading.
negative,Wrong size. Can't use
positive,This was a gift from my children and it's a blast and easy to see why people are always using them. I even learned to stream to my tv!
positive,Love love this!
positive,lov my new Kindle I now have3 but can not figuer out how get accessories  on amazon like cover.
positive,Terrific. Met all my expectations.
positive,This kindle is the best thing ever. I am very happy with it. I would recommend it to my friends.
positive,Got it for Christmas!  It's Awesome!
negative,The help is little help. Must be difficult for a non-nerd to buy and set up without an experienced friend to assist.
positive,Excellent picture watching  movies. Very vivid. I also like the easy access to the web and apps.I received this for Christmas as a gift and the only regret is I also received a chrome cast fo
positive,Love it!
positive,Excellent!
positive,I love it!
positive,I love my fire HD 7 I can do any and everything on it. It's like a mini laptop. Since I received it as a gift I haven't put it down yet.
positive,Very clear. No complaints. Purchased two if them.
positive,This tablet is amazing it has everything I need. I bought this as a replacement for my 7yr olds kid tablet. He has a profile and so do I. We can also check out books from our local library. T
positive,Absolutely love it!!!
negative,There are android apps that cant be downloaded. The display is not very HD my 2nd generation was better. The cameras are low quality and grainy during playback of video. Samsung has this prod
positive,Awesome!!
positive,great tablet for the price!!
negative,Ok
positive,Fun to read--hard to hold on to.
positive,Love being able to change the font
negative,Learning how to operated this fire HD.
negative,I love the Kindle Fire HD 7.  I am just having a hard time getting used to it.  I am not a technology person and I don't even text.  But love reading on the Kindle.
negative,bought it so my husband could play games and I could also read on vacations.<br />Disappointed that may apps like some of the angry birds cannot be put on the fire.
positive,I love the convenience of it. Can do most things I used to be chained to a desk or bulky laptop to do. Somewhat of a learning curve. Still learning how to use it.
positive,Love it .  Beautiful and thoughtful gift from my son and family.
positive,LOVE IT!
positive,The Fire HD 7 is an excellent tablet at a very reasonable price. Amazon has done a superb job with their Kindle products. As an Amazon Prime member it really expands on the experience with al
positive,Easy to use. Loaded all my info from my older Kindle model.  Great clarity & audio! Wonderful upgrade!
positive,My son loves it. Great purchase for a five year old.
positive,love the fire hd but how do i make a payment on the amazon charge card
positive,Got it for my 6 year old and he loves it.
positive,love it
positive,This is the second best Christmas Present. The first best was my first Kindle Fire!!!
positive,I look forward to learning things it can do.  I have already started on reading and researching on internet.  It is fast and very crisp on the images. what a great gift
positive,So far so good.
positive,I LOVE my kindle!
positive,excellent reception.  Enjoy it very much
positive,Still getting used to it but I like it!!
negative,This is pretty cool but the battery life is terrible and this is just me but the plastic thing on the cord was molded crocked so the cord won't go in straight.
negative,IS GOOD
positive,My grandson and grand daughters love their Kindles ( I bought three HD 7's and one HD 8.9 ). But I wished I had known that the memory would be eaten up so quickly. We are constantly having to
positive,Was a great gift to receive
positive,Love the tablet; frustrated by the Freetime app on the device!  I ended up having to reset to the factory defaults to allow access to music for the kids without having them on my &#34;profile
positive,The Kindle Fire HD 7 is an excellent piece of technology. Apps are easy to install and use.
negative,just not enough apps that I am used to.
positive,I really like it and have found that it is really easy to operate
positive,love it and everything it can do!
positive,Love it!!
negative,The processors could have been better and also the wifi. THEREBIS NO EXPANDABLE SD CARD SLOT.:( REALLY NEED TO ADD ONE.!!!!
positive,I love the fire hd so much fun. Lot easier and more convenient than my laptop
positive,Package came a week earlier than expected!
positive,I am really enjoying my new tablet! I enjoy having items big enough to see without having to blow them up!
positive,gift
